tournament_round_id,hole,umap_1,umap_2,par,yards,adj_field_dk_avg,.cluster,hole_category
2513_57_3,3,1.440617322921753,5.148721218109131,4,391,1.310053421221184,1,medium
2513_57_3,4,10.148126602172852,-3.353878974914551,4,479,0.8617775591522184,1,medium
2513_57_3,5,-1.102891445159912,5.944153785705566,4,442,1.7410879039798048,3,easy
2513_57_3,6,4.213868141174316,9.576658248901367,5,525,2.172122386738425,3,easy
2513_57_3,7,9.991336822509766,-3.768430471420288,4,481,0.810053421221184,1,medium
2513_57_3,8,10.251777648925781,-1.6029901504516602,4,471,0.9652258350142874,1,medium
2513_57_3,9,-9.089710235595703,8.148231506347656,3,235,1.0859154901867012,1,medium
2513_57_3,10,8.681941986083984,3.741518974304199,4,424,1.0514327315660117,1,medium
2513_57_3,11,-11.148262977600098,7.550718784332275,3,214,0.9824672143246322,1,medium
2513_57_3,12,1.1033341884613037,5.160477638244629,4,389,1.3445361798418738,1,medium
2513_57_3,13,11.390461921691895,0.30739375948905945,4,440,0.9479844557039426,1,medium
2513_57_3,14,-5.393784999847412,-11.688719749450684,4,520,0.20660514535911503,2,hard
2513_57_3,15,-12.914213180541992,6.795323371887207,3,211,0.8617775591522184,1,medium
2513_57_3,16,8.821980476379395,-5.886076927185059,4,454,0.7583292832901495,1,medium
2513_57_3,17,6.718789100646973,3.9885501861572266,4,443,1.1548810074280806,1,medium
2513_57_3,18,3.661257028579712,10.948843955993652,5,600,2.0514327315660115,3,easy
2513_57_4,1,8.624231338500977,-5.285407066345215,4,469,0.7928120419108255,1,medium
2513_57_4,2,-10.917542457580566,-0.3809054493904114,3,197,0.5859154901866876,2,hard
2513_57_4,3,-0.9946969151496887,5.562068939208984,4,391,1.6031568694970324,3,easy
2513_57_4,4,10.363271713256836,-2.8626902103424072,4,479,0.9135016970832393,1,medium
2513_57_4,5,7.63789176940918,3.5836269855499268,4,442,1.1203982488073774,1,medium
2513_57_4,6,2.853785991668701,9.724963188171387,5,525,1.9997085936349634,3,easy
2513_57_4,7,10.19314193725586,-3.2921323776245117,4,481,0.8790189384625497,1,medium
2513_57_4,8,9.261388778686523,-4.549176216125488,4,471,0.8100534212211703,1,medium
2513_57_4,9,-14.463541030883789,2.4397387504577637,3,235,0.7238465246694463,1,medium
2513_57_4,10,8.156939506530762,3.8815510272979736,4,424,1.0859154901866876,1,medium
2513_57_4,11,-9.583043098449707,8.065074920654297,3,214,1.0169499729453082,1,medium
2513_57_4,12,-1.4277821779251099,5.678702354431152,4,389,1.7755706626004806,3,easy
2513_57_4,13,1.8352175951004028,6.244791030883789,4,440,1.3100534212211703,1,medium
2513_57_4,14,3.477595567703247,-7.524714946746826,4,520,0.6031568694970324,2,hard
2513_57_4,15,-14.690303802490234,3.7801880836486816,3,211,0.7410879039797911,1,medium
2513_57_4,16,0.612388551235199,6.034797668457031,4,454,1.4997085936349634,3,easy
2513_57_4,17,-1.0909581184387207,5.944615840911865,4,443,1.741087903979791,3,easy
2513_57_4,18,-0.6862123012542725,11.447162628173828,5,600,1.741087903979791,3,easy
2513_57_1,1,-0.9099501967430115,-11.457880973815918,4,469,0.40914938783551347,2,hard
2513_57_1,2,-11.518819808959961,6.9362287521362305,3,197,0.8924827211688467,1,medium
2513_57_1,3,4.124992847442627,-0.7447390556335449,4,391,0.7758160545021802,1,medium
2513_57_1,4,8.80123233795166,1.2833315134048462,4,479,1.1091493878355134,1,medium
2513_57_1,5,2.065230131149292,6.093871116638184,4,442,1.2758160545021802,1,medium
2513_57_1,6,0.31010299921035767,13.12585163116455,5,525,1.6424827211688469,3,easy
2513_57_1,7,2.931178331375122,-8.772089004516602,4,481,0.5591493878355135,2,hard
2513_57_1,8,-4.083303928375244,-13.967740058898926,4,471,0.25914938783551345,2,hard
2513_57_1,9,-14.330931663513184,2.2084598541259766,3,235,0.6591493878355135,2,hard
2513_57_1,10,4.377722263336182,-3.9182403087615967,4,424,0.7091493878355135,1,medium
2513_57_1,11,-14.72513484954834,3.664313793182373,3,214,0.7424827211688468,1,medium
2513_57_1,12,4.893441677093506,3.5905656814575195,4,389,1.0758160545021802,1,medium
2513_57_1,13,6.408192157745361,-11.145216941833496,4,440,0.5924827211688468,2,hard
2513_57_1,14,8.847981452941895,1.1466020345687866,4,520,1.0758160545021802,1,medium
2513_57_1,15,-8.081683158874512,8.108797073364258,3,211,1.2091493878355135,1,medium
2513_57_1,16,8.171578407287598,-8.167694091796875,4,454,0.6924827211688468,2,hard
2513_57_1,17,7.229159832000732,-9.982210159301758,4,443,0.6258160545021801,2,hard
2513_57_1,18,1.3216646909713745,11.028651237487793,5,600,1.9091493878355135,3,easy
2513_57_2,1,3.2489376068115234,-9.318558692932129,4,469,0.559149387835514,2,hard
2513_57_2,2,-10.879603385925293,1.8195592164993286,3,197,0.659149387835514,2,hard
2513_57_2,3,4.56426477432251,-0.42531803250312805,4,391,0.809149387835514,1,medium
2513_57_2,4,2.360023260116577,-8.9247589111328125,4,479,0.5424827211688474,2,hard
2513_57_2,5,5.483675003051758,4.746577262878418,4,442,1.2258160545021808,1,medium
2513_57_2,6,3.585789203643799,9.777776718139648,5,525,2.0924827211688473,3,easy
2513_57_2,7,8.918706893920898,1.0840377807617187,4,481,1.059149387835514,1,medium
2513_57_2,8,2.592067241668701,-9.465526580810547,4,471,0.5384597326631002,2,hard
2513_57_2,9,-13.861515998840332,6.143729209899902,3,235,0.7798390430079278,1,medium
2513_57_2,10,1.2264726161956787,5.7880682945251465,4,424,1.4177700774906865,3,easy
2513_57_2,11,-14.714048385620117,3.7977805137634277,3,214,0.762597663697583,1,medium
2513_57_2,12,4.792503356933594,3.6786201000213623,4,389,1.0901838705941347,1,medium
2513_57_2,13,-0.1073795035481453,-7.140344619750977,4,440,0.48673559473206574,2,hard
2513_57_2,14,2.439812660217285,-7.773845672607422,4,520,0.5212183533527555,2,hard
2513_57_2,15,-10.218036651611328,0.2529846131801605,3,211,0.6246666292148244,2,hard
2513_57_2,16,7.151577472686768,-9.187355041503906,4,454,0.6419080085251693,2,hard
2513_57_2,17,1.6910715103149414,6.038821697235107,4,443,1.3315631809389623,1,medium
2513_57_2,18,-0.40766334533691406,11.283679962158203,5,600,1.7970804223182728,3,easy
2513_57_3,1,0.22967727482318878,-10.394454956054687,4,469,0.4652258350142875,2,hard
2513_57_3,2,-12.820670127868652,5.656045436859131,3,197,0.810053421221184,1,medium
2504_3083_1,1,3.130129337310791,2.2966816425323486,4,358,0.977334066638808,1,medium
2504_3083_1,2,9.081171035766602,-2.1785876750946045,4,442,0.8541456608417065,1,medium
