Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,Yahoo:,Salary,Finish Pts,Scoring Pts,Points,Value
Tony Finau,0,21.11,150,,0.811025,0.49585,0.21095,0.062425,,31.58202609,11000,6.7464,67.59175,74.34,13.79,,33.58032758,11400,4.8724,69.2539,74.13,9.07,,,4.2095,64.60396,68.81,-2325.32
Scottie Scheffler,0,20.61,150,,0.782375,0.45465,0.18545,0.05285,,31.78688226,10400,6.4736,67.1107,73.58,17.08,,33.77091,11300,4.6895,68.56983,73.26,11.1,,,4.002,63.82236,67.82,-1972.8
Hideki Matsuyama,0,13.05,150,,0.7685,0.417725,0.159075,0.042225,,31.41055277,10100,5.5074,63.66555,69.17,11.86,,33.61835519,10800,3.9879,64.55294,68.54,8.03,,,3.3218,59.75144,63.07,-1800.37
Cameron Tringale,0,16.67,150,,0.7626,0.394825,0.1358,0.033675,,30.77684777,9300,5.2734,62.0718,67.35,14.87,,33.04822457,10400,3.8214,62.90408,66.73,10.12,,,3.1373,58.33887,61.48,-1330.58
Jordan Spieth,0,24.46,150,,0.7294,0.3665,0.129375,0.0344,,31.27003371,10700,5.0683,62.17315,67.24,3.98,,33.5107367,11500,3.6655,62.70938,66.37,3.11,,,3.0175,57.93625,60.95,-2155.68
Abraham Ancer,0,20.49,150,,0.7316,0.3652,0.12645,0.0297,,30.80531792,9700,5.001,61.9931,66.99,11.2,,33.03471518,10900,3.6281,62.62331,66.25,7.76,,,2.9596,57.86014,60.82,-1566.78
Corey Conners,0,23.78,150,,0.718225,0.339425,0.110325,0.026625,,30.61101183,9500,4.6908,60.7395,65.43,10.07,,32.96507862,11000,3.3835,61.11203,64.5,7.05,,,2.7217,56.42542,59.15,-1450.48
Ryan Palmer,0,20.79,150,,0.704725,0.3292,0.1088,0.025075,,31.14754293,9400,4.513,60.62195,65.13,10.32,,33.39326082,10700,3.2722,60.77863,64.05,7.09,,,2.6351,55.85742,58.49,-1392.17
Si Woo Kim,0,14.91,150,,0.70585,0.323325,0.10645,0.0252,,31.10518776,8900,4.1893,60.07935,64.27,12.68,,33.33998633,10200,3.0202,59.82898,62.85,8.33,,,2.4384,54.81474,57.25,-1098.77
Charley Hoffman,0,19.93,150,,0.708475,0.32225,0.1047,0.023625,,30.96755775,9200,4.2898,59.80685,64.1,10.1,,33.25055424,10500,3.1094,59.79758,62.91,6.96,,,2.4847,54.93474,57.42,-1275.33
