player_name,avg_dk_pts_gained,min_dk_pts_gained,max_dk_pts_gained,win_dk,top5_dk,top10_dk,top20_dk,tournament_id,sim_type
Justin Thomas,25.74670424880097,-10.439255019911187,69.06816677133477,9.59,30.64,46.239999999999995,64.24,401056513,adjusted
Jon Rahm,23.658944135153895,-11.964714788182869,74.75440897867037,7.03,25.11,38.86,57.330000000000005,401056513,adjusted
Tony Finau,22.981060233285135,-11.647232535374359,68.7189469744114,6.02,22.720000000000002,36.449999999999996,55.60000000000001,401056513,adjusted
Phil Mickelson,21.876735605091515,-13.99551383424668,77.27685675237896,5.75,21.01,33.79,51.480000000000004,401056513,adjusted
Rickie Fowler,20.69500122931512,-15.065588489501675,70.70166690052721,4.01,17.25,29.880000000000003,47.870000000000005,401056513,adjusted
Gary Woodland,19.482290552879835,-12.863973069529642,75.33848244800747,4.06,16.25,27.18,43.66,401056513,adjusted
Webb Simpson,19.17339792217945,-15.965536303932332,62.95960614797801,3.4299999999999997,14.430000000000001,25.39,42.19,401056513,adjusted
Xander Schauffele,18.70341379347836,-12.683774990673069,62.30149448775627,2.9000000000000004,13.19,23.799999999999997,41,401056513,adjusted
Hideki Matsuyama,18.16433292224122,-13.6080464260708,69.9890122944231,3.1399999999999997,13.51,23.599999999999998,39.37,401056513,adjusted
Tyrrell Hatton,16.902798294424382,-14.142686588313763,60.62820060173643,2.5100000000000002,10.459999999999999,19.580000000000002,34.78,401056513,adjusted
Emiliano Grillo,16.18791167253431,-15.785580050933463,67.99082871731255,1.7500000000000002,8.450000000000001,17,32.45,401056513,adjusted
Luke List,15.44784509303589,-13.772786410321766,58.77963260600498,1.51,7.85,15.629999999999999,30.19,401056513,adjusted
Bubba Watson,14.82875665111263,-14.485162586139424,60.93521003287212,1.26,7.42,14.97,28.349999999999998,401056513,adjusted
Byeong Hun An,14.8266004006914,-15.06440240292496,57.12796425114291,1.38,7.17,14.84,28.23,401056513,adjusted
Kevin Na,14.483553522242206,-18.544755946242358,56.90544155674459,1.31,6.81,13.750000000000002,27.22,401056513,adjusted
Adam Hadwin,14.59209474953697,-13.745850645114395,62.664802131226594,1.2,6.25,13.270000000000001,26.82,401056513,adjusted
Keegan Bradley,14.06726977637264,-16.682663278904872,60.53933793729909,1.37,7.380000000000001,14.219999999999999,26.19,401056513,adjusted
Cameron Champ,13.66784272517196,-15.007712398578276,68.83866773982689,1.67,7.79,14.299999999999999,26.07,401056513,adjusted
Zach Johnson,14.050780619931027,-16.161515366747437,60.75135161108187,1.18,6.6000000000000005,12.889999999999999,25.69,401056513,adjusted
Cameron Smith,13.374612808874854,-14.202195451810736,58.394331272927786,0.98,5.53,11.84,24.060000000000002,401056513,adjusted
Beau Hossler,13.055677353604107,-18.38985622948031,59.54103355453196,1.0699999999999998,5.89,11.86,23.47,401056513,adjusted
Chez Reavie,12.97397761135646,-18.239171270950138,57.150761042704524,0.9199999999999999,5.92,11.87,23.24,401056513,adjusted
Joaquin Niemann,12.404143894635093,-16.319367721024808,56.72365843776559,1.15,5.680000000000001,11.33,22.439999999999998,401056513,adjusted
Sam Burns,11.998678491852385,-19.22431926899077,64.96492467776213,1.58,6.460000000000001,12.11,22.15,401056513,adjusted
Matt Kuchar,13.083249916963462,-13.826971831272127,54.885500661531765,0.59,4.75,10.22,21.6,401056513,adjusted
Martin Laird,11.81895467972408,-20.64928274975804,57.75896230195735,0.74,4.52,9.84,20.380000000000003,401056513,adjusted
Billy Horschel,12.328653645502007,-16.041249727873726,59.95808539604762,0.83,4.37,9.19,20.369999999999997,401056513,adjusted
Jason Kokrak,11.853492005575157,-14.649967915167192,53.69815767016504,0.83,4.83,9.959999999999999,20.169999999999998,401056513,adjusted
Branden Grace,11.863837806477525,-16.402423052088874,55.336903226087884,0.72,4.590000000000001,9.64,19.59,401056513,adjusted
Chesson Hadley,11.400589589651462,-16.672174381751486,57.84551128757877,0.72,4.14,9.22,19.18,401056513,adjusted
Kyle Stanley,11.835083458026132,-18.128641171161892,53.8148275255913,0.5,4.03,8.84,19.09,401056513,adjusted
Steve Stricker,11.690053135973539,-16.11749957245584,55.180067226837465,0.61,3.8600000000000003,8.690000000000001,18.52,401056513,adjusted
Keith Mitchell,11.118267267217504,-18.309374233875037,63.52657099021445,0.7100000000000001,4.14,8.89,18.509999999999998,401056513,adjusted
Daniel Berger,11.968080320743807,-12.848228017848294,55.408851838554824,0.38,3.3300000000000005,8.12,18.490000000000002,401056513,adjusted
J.B. Holmes,11.196509088179667,-16.0354167977702,61.64416534420539,0.7000000000000001,4.09,8.76,18.26,401056513,adjusted
Bronson Burgoon,11.204532401107885,-15.00986514936573,61.75943211889916,0.7799999999999999,3.94,8.799999999999999,18.19,401056513,adjusted
Kiradech Aphibarnrat,11.24977174010308,-17.29736034177799,54.40979686349896,0.6799999999999999,4.01,8.469999999999999,17.66,401056513,adjusted
Brandt Snedeker,11.081457505586508,-15.71267554937782,58.04875429992882,0.76,3.9,8.19,17.630000000000003,401056513,adjusted
Russell Knox,10.806479115035202,-22.3097315142935,69.9660041214531,0.44,3.6999999999999997,8.04,17.549999999999997,401056513,adjusted
Harold Varner III,10.99290693007156,-17.91359411512082,57.769232525491375,0.53,3.62,8.21,17.349999999999998,401056513,adjusted
C.T. Pan,11.195953238659742,-17.029857889252753,52.39826059420811,0.61,3.9699999999999998,8.28,17.28,401056513,adjusted
Stewart Cink,10.76638665559018,-17.25922955397739,52.98759208224405,0.61,3.9,8.25,17.28,401056513,adjusted
Lucas Glover,11.202747211691685,-16.305814255714026,56.4152319827903,0.47000000000000003,3.19,7.8,17.23,401056513,adjusted
Sam Ryder,10.554860709622659,-20.17286039312034,54.54867744809917,0.52,3.62,7.670000000000001,17.150000000000002,401056513,adjusted
Joel Dahmen,10.853507343997316,-17.569602544167566,53.34517041751778,0.52,3.27,7.21,16.88,401056513,adjusted
Nick Watney,10.678907872976586,-17.88067093944752,54.95638920393717,0.53,3.56,7.55,16.88,401056513,adjusted
Andrew Putnam,11.118203372972843,-15.953249086398472,53.01743100037974,0.47000000000000003,3.35,7.19,16.82,401056513,adjusted
Abraham Ancer,10.825078555053107,-16.97119606094062,48.726250999543346,0.44999999999999996,2.97,7.33,16.48,401056513,adjusted
Peter Uihlein,10.526015842618493,-18.12893800263101,50.61176886780059,0.45999999999999996,3.45,7.340000000000001,16.33,401056513,adjusted
Russell Henley,10.448809661464468,-20.749053907899988,51.81798201264455,0.54,3.3000000000000003,7.16,16.11,401056513,adjusted
Sungjae Im,10.083056671845757,-18.16469209587237,56.97376960125723,0.54,3.39,7.249999999999999,16.02,401056513,adjusted
Ryan Palmer,10.141936800326045,-17.846246255503566,50.83744777639987,0.48,3.42,7.3,15.82,401056513,adjusted
Kevin Tway,10.35592924886123,-17.548395923212464,57.4654211486243,0.54,3.2,7.359999999999999,15.67,401056513,adjusted
Rory Sabbatini,10.338299877608403,-18.14423574808511,57.19783042143443,0.53,3.1,6.9,15.58,401056513,adjusted
Si Woo Kim,10.26415739392826,-17.381293361697168,53.545196560430504,0.54,2.93,6.68,15.47,401056513,adjusted
Ryan Moore,10.528392104085565,-14.882360911987995,53.61411141932891,0.53,3,6.800000000000001,15.340000000000002,401056513,adjusted
Ted Potter Jr.,10.585598856138027,-17.403173038920283,59.00435509776242,0.41000000000000003,2.78,6.710000000000001,15.21,401056513,adjusted
Scott Piercy,9.704173000971762,-16.55820341806398,62.041323251896344,0.54,3.49,7.32,14.99,401056513,adjusted
Jimmy Walker,9.973169611692935,-18.600654077601607,54.38676759048649,0.4,2.9499999999999997,6.5600000000000005,14.75,401056513,adjusted
Danny Lee,9.649504329268623,-17.44780225683879,53.986298884304624,0.47000000000000003,3.34,6.84,14.64,401056513,adjusted
Austin Cook,10.271716453699925,-20.001372250175724,49.37966584785069,0.49,2.56,6.09,14.2,401056513,adjusted
Talor Gooch,9.279146179132857,-16.689653989095426,57.43364192123323,0.38,2.6599999999999997,6.04,13.73,401056513,adjusted
Chris Kirk,9.314989615864425,-17.589437018471784,65.13876773517167,0.42,2.7,6.08,13.669999999999998,401056513,adjusted
J.T. Poston,9.116705250875217,-17.951459840022476,55.03237281921322,0.51,2.77,6.59,13.66,401056513,adjusted
Charley Hoffman,9.71965651879205,-18.275395610629793,52.965881852031586,0.42,2.42,5.79,13.55,401056513,adjusted
Aaron Baddeley,9.230524525664372,-20.45216371889583,51.901776463592626,0.4,2.63,6.01,13.450000000000001,401056513,adjusted
Brian Gay,9.546776967126439,-16.167290921673814,50.338657296233094,0.27999999999999997,2.33,5.58,13.43,401056513,adjusted
Denny McCarthy,9.48981383907437,-15.084406716645073,50.29803009907151,0.27,2.22,5.5,13.13,401056513,adjusted
Patrick Rodgers,9.294830515505565,-17.630586606833543,54.89973112487522,0.37,2.56,6.0600000000000005,13.05,401056513,adjusted
Brandon Harkins,8.504170076848322,-20.103162726492897,51.59391185718102,0.48,2.2800000000000002,5.84,12.47,401056513,adjusted
Trey Mullinax,8.550489679988614,-19.621621160067296,56.485369307348606,0.32,2.56,5.24,12.32,401056513,adjusted
Carlos Ortiz,7.983175539012738,-20.230749641120642,54.56866455370102,0.48,2.75,5.89,12.3,401056513,adjusted
Anders Albertson,8.277938057270255,-17.11691406324711,55.281564777755335,0.27,2.12,5.26,11.75,401056513,adjusted
John Huh,7.794914357309121,-18.235126843168242,56.51444443189578,0.27,2.26,5.220000000000001,11.41,401056513,adjusted
Bud Cauley,8.901632180390806,-17.46571878873926,49.1625630943115,0.22999999999999998,1.9300000000000002,4.6899999999999995,11.4,401056513,adjusted
James Hahn,7.701070714198752,-18.289236182572367,59.25385974734317,0.36,2.34,5.12,11.07,401056513,adjusted
Richy Werenski,8.239394731852315,-21.128698259506866,52.59491451108006,0.22999999999999998,1.97,4.77,11.06,401056513,adjusted
Ryan Blaum,7.759374224157594,-18.22143632175037,50.257366912112616,0.18,1.9,4.6899999999999995,10.92,401056513,adjusted
Adam Schenk,7.906938530230079,-17.593721447826965,48.36166280311765,0.27999999999999997,1.83,4.52,10.72,401056513,adjusted
Vaughn Taylor,8.46885520238956,-17.752361595796252,49.3099174833571,0.25,1.68,4.26,10.68,401056513,adjusted
Charl Schwartzel,8.446042123049567,-18.70455830816813,48.79634616608274,0.26,1.8599999999999999,4.35,10.66,401056513,adjusted
Patton Kizzire,7.796453392255058,-18.900594117244804,55.578594061508056,0.24,1.72,4.38,10.47,401056513,adjusted
Kevin Streelman,8.033176348584849,-19.364477483540448,55.20267651829775,0.24,1.47,4.05,10.27,401056513,adjusted
Brandon Hagy,6.829982325052068,-21.15329964697531,51.1427340395479,0.22,1.82,4.2700000000000005,10.040000000000001,401056513,adjusted
Kevin Kisner,7.894354140539472,-19.60772785329188,51.079831538979576,0.21,1.55,3.85,9.9,401056513,adjusted
J.J. Spaun,7.639824567696595,-16.334740372904893,50.73327837296483,0.24,1.26,3.6900000000000004,9.56,401056513,adjusted
Scott Stallings,7.371224535670254,-18.847216472060985,50.89446950611182,0.19,1.54,3.95,9.48,401056513,adjusted
Grayson Murray,6.334103953499078,-21.649140050588986,51.02977582504653,0.36,1.83,4.130000000000001,9.19,401056513,adjusted
Alex Cejka,6.764793768345573,-19.17408545453286,47.91194082460309,0.22999999999999998,1.47,3.58,8.53,401056513,adjusted
Ryan Armour,7.29238714536229,-16.246380032000566,47.47434719079049,0.13,1.04,2.8899999999999997,8.32,401056513,adjusted
Adam Long,6.058082566776309,-20.043758426674835,63.71747175115691,0.22,1.4000000000000001,3.27,8.06,401056513,adjusted
Martin Kaymer,7.166551517360608,-18.618893874786863,47.01872878374281,0.08,0.84,2.6599999999999997,7.739999999999999,401056513,adjusted
Brendan Steele,6.741541928478234,-18.675382377297794,52.033766830170705,0.16999999999999998,1.1199999999999999,2.79,7.7,401056513,adjusted
Brian Harman,6.595606665213367,-21.79560016522634,50.918908514183954,0.2,1.1400000000000001,2.67,7.6,401056513,adjusted
Harris English,5.936859810890343,-21.580696136949395,55.96415525491774,0.2,1.3299999999999998,3.02,7.6,401056513,adjusted
Sean O'Hair,6.05509787094186,-19.120815130691,48.232558484876385,0.16,0.96,2.68,7.48,401056513,adjusted
Stephan Jaeger,6.227180345235724,-18.09891577665529,55.17217447663297,0.24,1.27,2.98,7.41,401056513,adjusted
Mackenzie Hughes,6.164814215204556,-18.616816151863624,49.72470669850435,0.08,1.11,2.77,7.290000000000001,401056513,adjusted
Tom Hoge,5.851486621599804,-22.671021674569957,45.02137323689638,0.1,0.9900000000000001,2.58,7.04,401056513,adjusted
Jhonattan Vegas,6.478225278498362,-20.453983267223038,43.67710111403018,0.12,1.1199999999999999,2.8000000000000003,7.03,401056513,adjusted
Hunter Mahan,6.360951920875325,-18.90797423792538,45.44273915199493,0.06999999999999999,0.89,2.27,6.7,401056513,adjusted
Tyler Duncan,5.35829323922751,-19.36147287076883,50.476551758676706,0.2,1.17,2.7,6.370000000000001,401056513,adjusted
Brice Garnett,6.083897955066207,-18.695132960050774,50.20597559079533,0.03,0.89,2.33,6.329999999999999,401056513,adjusted
Satoshi Kodaira,4.561081963518103,-23.1500643681208,56.79128719066311,0.18,1.08,2.5100000000000002,6.32,401056513,adjusted
Chase Wright,4.826806110054248,-21.93721784732177,46.48609799844053,0.12,1.13,2.41,6.279999999999999,401056513,adjusted
Andrew Landry,5.833301116751632,-20.501375409192505,44.98965119590396,0.03,0.63,2.15,6.2700000000000005,401056513,adjusted
Bill Haas,5.782750721591468,-16.856488089143248,43.76570364897124,0.09,0.75,2.39,6.22,401056513,adjusted
Sung Kang,5.166851269308977,-18.45537580526925,49.3933771086686,0.04,0.66,2.06,5.86,401056513,adjusted
Whee Kim,4.871774225471435,-20.608194793825444,48.96828742452706,0.1,0.63,2.11,5.84,401056513,adjusted
Kelly Kraft,4.911792610231524,-19.813575486170013,46.91918997821499,0.1,0.73,2.03,5.64,401056513,adjusted
Chris Stroud,4.638358423754571,-17.090693608709586,51.635397602732425,0.09,0.77,2.02,5.63,401056513,adjusted
Jonas Blixt,4.928419594520973,-19.25090210572052,47.85021874543752,0.08,0.72,2.08,5.57,401056513,adjusted
Ollie Schniederjans,5.24612818409756,-21.52177138743837,42.62106805745374,0.06999999999999999,0.66,1.7500000000000002,5.33,401056513,adjusted
Max Homa,3.78275147194898,-23.55457364600389,55.015089556395466,0.13999999999999999,0.8699999999999999,1.96,5.24,401056513,adjusted
Robert Streb,5.255964485550036,-18.755855929007424,54.489785087466046,0.11,0.67,1.79,4.93,401056513,adjusted
David Hearn,4.332620444084946,-19.179230259326477,46.810769752107205,0.06999999999999999,0.72,1.8399999999999999,4.6899999999999995,401056513,adjusted
Brian Stuard,3.951860240263539,-22.049470636279704,47.97659901674807,0.06,0.36,1.03,3.85,401056513,adjusted
Cody Gribble,2.8066334190732585,-24.607423580765172,46.683340024475626,0.06999999999999999,0.5,1.1199999999999999,3.5700000000000003,401056513,adjusted
Nick Taylor,4.174209078790908,-23.965424609566465,40.25133815341075,0.05,0.33,1.0999999999999999,3.56,401056513,adjusted
K.J. Choi,3.3333455718345792,-23.295943231369254,45.13469262780321,0.04,0.32,1.0999999999999999,3.0700000000000003,401056513,adjusted
Michael Kim,2.1742619251594935,-21.76982788496023,43.74833319229537,0.02,0.27,0.7799999999999999,2.53,401056513,adjusted
