player_name,avg_dk_pts_gained,min_dk_pts_gained,max_dk_pts_gained,win_dk,top5_dk,top10_dk,top20_dk,tournament_id,sim_type
Justin Thomas,25.802457884474247,-8.15516243059903,74.28985255341412,9.13,29.599999999999998,44.519999999999996,62.870000000000005,401056513,adjusted_with_course_fit
Jon Rahm,22.565470234924728,-9.70731241072916,72.47812133658077,5.53,20.25,33.28,52.71,401056513,adjusted_with_course_fit
Tony Finau,21.9563632581868,-12.75334976380769,73.87726222581493,5.28,20.1,32.87,50.970000000000006,401056513,adjusted_with_course_fit
Webb Simpson,20.123522754204462,-12.042263785075717,65.79803102618716,4.08,16.1,27.24,44.16,401056513,adjusted_with_course_fit
Rickie Fowler,19.827395259958028,-16.164655897140083,71.06410216711075,3.35,15.049999999999999,26.150000000000002,43.74,401056513,adjusted_with_course_fit
Phil Mickelson,19.54053639342661,-15.58259191272033,62.198194324491155,3.5900000000000003,15.740000000000002,26.51,43.28,401056513,adjusted_with_course_fit
Xander Schauffele,19.128847812586343,-11.018455667271558,71.78189810504134,3.16,13.76,24.72,41.21,401056513,adjusted_with_course_fit
Hideki Matsuyama,17.83976552466163,-13.793936968410339,62.29690644109178,2.75,12.16,21.78,37.25,401056513,adjusted_with_course_fit
Gary Woodland,16.836740920465477,-14.637301562787414,72.72917079189105,2.6,10.34,19.71,34.699999999999996,401056513,adjusted_with_course_fit
Emiliano Grillo,16.117485980836886,-13.494161453338956,67.85664321531662,1.81,8.66,17.18,31.85,401056513,adjusted_with_course_fit
Luke List,16.056717900490415,-10.948953978711403,60.602145560083734,1.79,8.98,16.86,31.25,401056513,adjusted_with_course_fit
Tyrrell Hatton,15.54310627709006,-16.52090486654354,75.48243958174251,2.2399999999999998,8.91,16.18,29.5,401056513,adjusted_with_course_fit
Keegan Bradley,14.635429709540368,-12.683529250916985,62.070430680174525,1.5,7.24,14.399999999999999,27.68,401056513,adjusted_with_course_fit
Adam Hadwin,15.042577802205711,-14.135068957936829,61.05110343842972,1.23,7.140000000000001,14.16,27.58,401056513,adjusted_with_course_fit
