tour,season,tournament_id,tournament_name,course,location,tournament_link
ct,2020,2020706,Limpopo Championship,Euphoria GC," Modimolle, South Africa",/challenge-tour/limpopo-championship-2020/
ct,2020,2020708,RAM Cape Town Open,Royal Cape GC," Cape Town, South Africa",/challenge-tour/ram-cape-town-open-2020/
ct,2020,2020710,Dimension Data Pro-Am,Fancourt Golf Estate," George, South Africa",/challenge-tour/dimension-data-pro-am-2020/
ct,2020,2020731,Austrian Open,Diamond CC," Atzenbrugg, near Vienna, Austria",/challenge-tour/austrian-open-2020/
ct,2020,2020732,Euram Bank Open,GC Adamstal," Ramsau, Austria",/challenge-tour/euram-bank-open-2020/
ct,2020,2020300,Northern Ireland Open supported by The R&A,Galgorm Castle Golf Club," Ballymena, Northern Ireland",/challenge-tour/northern-ireland-open-supported-by-the-r-a-2020/
ct,2020,2020750,Open de Portugal at Royal Óbidos,Royal Óbidos Spa & Golf Resort," Vau Óbidos, Portugal",/challenge-tour/open-de-portugal-at-royal-obidos-2020/
ct,2020,2020726,Italian Challenge Open Eneos Motor Oil,Golf Club Castelconturbia," Agrate Conturbia, Italy",/challenge-tour/italian-challenge-open-eneos-motor-oil-2020/
ct,2020,2020301,Andalucía Challenge de España,Iberostar Real Club de Golf Novo Sancti Petri," Cadiz, Spain",/challenge-tour/andalucia-challenge-de-espana-2020-x6566/
ct,2020,2020302,Andalucía Challenge de Cádiz,Iberostar Real Club de Golf Novo Sancti Petri," Cadiz, Spain",/challenge-tour/andalucia-challenge-de-cadiz-2020/
ct,2020,2020762,Challenge Tour Grand Final,T-Golf & Country Club," Mallorca, Baleares, Spain",/challenge-tour/challenge-tour-grand-final-2020/
ct,2019,2019810,Jordan Mixed Open Presented By Ayla,Ayla Golf Club," Aqaba, Jordan",/challenge-tour/jordan-mixed-open-presented-by-ayla-2019/
ct,2019,2019732,Turkish Airlines Challenge,Samsun GC," Atakum, Samsun, Turkey",/challenge-tour/turkish-airlines-challenge-2019/
ct,2019,2019728,Challenge de España,Izki Golf," Urturi, Alava Province, Spain",/challenge-tour/challenge-de-espana-2019/
ct,2019,2019730,Prague Golf Challenge,Prague City Golf," Prague, Czech Republic",/challenge-tour/prague-golf-challenge-2019/
ct,2019,2019734,D+D REAL Czech Challenge,Kaskáda Golf Resort," Brno, Czech Republic",/challenge-tour/d-d-real-czech-challenge-2019/
ct,2019,2019738,Swiss Challenge Presented by Swiss Golf,Golf Sempach," Lucerne, Switzerland",/challenge-tour/swiss-challenge-presented-by-swiss-golf-2019/
ct,2019,2019740,Hauts de France - Pas de Calais Golf Open,Aa Saint-Omer GC," Lumbres, France",/challenge-tour/hauts-de-france-pas-de-calais-golf-open-2019/
