tour,season,tournament_id,tournament_name,par,yards,course,location
euro,2021,2021101,Abu Dhabi HSBC Championship,,,Abu Dhabi GC," Abu Dhabi, UAE"
euro,2021,2021102,Omega Dubai Desert Classic,,,Emirates GC," Dubai, UAE"
euro,2021,2021103,Saudi International powered by SoftBank Investment Advisers,,,Royal Greens G&CC," King Abdullah Economic City, Saudi Arabia"
euro,2020,2020001,Alfred Dunhill Championship,,,Leopard Creek CC," Malelane, South Africa"
euro,2020,2020002,AFRASIA BANK Mauritius Open,,,Heritage GC," Heritage Bel Ombre, Mauritius"
euro,2020,2020003,Australian PGA Championship,,,RACV Royal Pines Resort," Gold Coast, Queensland, Australia"
euro,2020,2020006,South African Open hosted by the City of Johannesburg,,,Randpark GC," Johannesburg, South Africa"
euro,2020,2020008,Abu Dhabi HSBC Championship presented by EGA,,,Abu Dhabi GC," Abu Dhabi, UAE"
euro,2020,2020010,Omega Dubai Desert Classic,,,Emirates GC," Dubai, UAE"
euro,2020,2020012,Saudi International powered by SoftBank Investment Advisers,,,Royal Greens G&CC," King Abdullah Economic City, Saudi Arabia"
euro,2020,2020014,ISPS Handa Vic Open,,,13th Beach GC," Geelong, Victoria, Australia"
euro,2020,2020020,Oman Open,,,Al Mouj Golf," Muscat, Oman"
euro,2020,2020022,Commercial Bank Qatar Masters,,,Education City GC," Doha, Qatar"
euro,2020,2020731,Austrian Open,,,Diamond CC," Atzenbrugg, near Vienna, Austria"
euro,2020,2020732,Euram Bank Open,,,GC Adamstal," Ramsau, Austria"
euro,2020,2020066,Betfred British Masters hosted by Lee Westwood,,,Close House GC," Newcastle-upon-Tyne, England"
euro,2020,2020004,Hero Open,,,Forest of Arden Marriott Hotel & Country Club," Birmingham, England"
euro,2020,2020005,English Championship,,,Hanbury Manor Marriott Hotel & Country Club," Ware, Hertfordshire, England"
euro,2020,2020007,Celtic Classic,,,The Celtic Manor Resort," City of Newport, Wales"
euro,2020,2020009,ISPS HANDA Wales Open,,,The Celtic Manor Resort," City of Newport, Wales"
euro,2020,2020011,ISPS HANDA UK Championship,,,The Belfry," Sutton Coldfield, England"
euro,2020,2020038,Estrella Damm N.A. Andalucia Masters ,,,Real Club Valderrama," Sotogrande, Spain"
euro,2020,2020090,Portugal Masters,,,Dom Pedro Victoria Golf Course," Vilamoura, Portugal"
euro,2020,2020750,Open de Portugal at Royal Óbidos,,,Royal Óbidos Spa & Golf Resort," Vau Óbidos, Portugal"
euro,2020,2020046,Dubai Duty Free Irish Open,,,Galgorm Castle Golf Club," Ballymena, Northern Ireland"
euro,2020,2020060,Aberdeen Standard Investments Scottish Open,,,The Renaissance Club," North Berwick, Scotland"
euro,2020,2020078,BMW PGA Championship,,,Wentworth Golf Club," Virginia Water, Surrey, England"
euro,2020,2020102,Scottish Championship presented by AXA,,,Fairmont St Andrews," St Andrews, Fife, Scotland"
